trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,17.5,False,30,117229.58397865295
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-14.0,False,-4,5613.490104675293
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-10.5,False,-3,6898.068904876709
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-14.25,False,-18,1806.015968322754
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-17.5,True,-17.5,2843.06001663208
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,10.5,False,18,2270.9929943084717
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-7.0,False,-2,2059.1249465942383
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,7.0,True,7.0,2490.510940551758
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,14.0,False,24,3115.086078643799
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,23.75,True,23.8,5806.689023971558
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,14.25,False,3,2221.036911010742
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-11.25,True,-11.2,1775.183916091919
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,16.125,True,16.1,1654.3278694152832
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,9.5625,False,18,4634.667873382568
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-16.125,False,-3,3365.2689456939697
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-8.125,True,-8.1,2921.2050437927246
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,4.5,False,12,2421.525001525879
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-17.0625,False,-3,4881.335020065308
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,19.0,True,19.0,2858.4439754486084
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,13.78125,True,13.8,2026.676893234253
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-9.5,False,-2,1934.9339008331299
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-6.5625,True,-6.6,9889.710187911987
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-17.53125,False,-18,2056.736946105957
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,8.390625,False,3,3084.9690437316895
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-3.5,False,-6,4260.590076446533
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,8.25,True,8.2,4328.088998794556
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,11.5,False,24,2367.00701713562
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-19.0,False,-24,1998.5780715942383
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-17.765625,False,-18,2800.9190559387207
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-10.75,False,-2,6333.011150360107
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-11.375,False,-12,1598.3390808105469
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-4.75,False,-1,4728.69610786438
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-5.375,False,-6,1643.9669132232666
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-21.5,False,-24,2264.5740509033203
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,5.125,False,2,1540.304183959961
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,17.75,True,17.8,5475.7490158081055
