trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,1,6,3.5,False,1,4842.440128326416
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-5,-30,-17.5,False,-30,11577.638149261475
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-1,-6,-3.5,False,-1,5628.185033798218
3,-3,-18,-10.5,True,-10.5,9009.769916534424
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-4,-24,-14.0,False,-4,6417.223930358887
5,-1,-6,-2.25,True,-2.2,2558.566093444824
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,3,18,10.5,False,3,3358.8061332702637
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,5,30,17.5,False,30,2074.9568939208984
8,-1,-6,-2.875,True,-2.9,1736.3090515136719
9,3,18,14.25,True,14.2,2294.083833694458
10,5,30,23.75,True,23.8,1650.6881713867188
11,5,30,20.625,True,20.6,2634.9151134490967
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-1,-6,-3.1875,False,-1,5234.3010902404785
13,1,6,4.75,True,4.8,1426.4559745788574
14,-5,-30,-11.25,True,-11.2,1765.0561332702637
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-3,-18,-14.25,False,-18,1723.912000656128
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,5,30,19.0625,False,30,1658.0698490142822
17,5,30,19.84375,True,19.8,1687.464952468872
18,-5,-30,-14.375,True,-14.4,7079.810857772827
19,3,18,12.375,True,12.4,3160.507917404175
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-5,-30,-15.9375,False,-30,2244.6539402008057
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-5,-30,-15.15625,False,-5,2330.1918506622314
22,-4,-24,-9.0,True,-9.0,2646.796941757202
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,5,30,19.453125,False,5,1713.313102722168
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-4,-24,-11.5,False,-24,1900.4168510437012
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-5,-30,-14.765625,False,-30,1810.486078262329
26,-1,-6,-3.03125,True,-3.0,1680.1269054412842
27,-4,-24,-10.25,True,-10.2,1740.0920391082764
28,3,18,11.4375,True,11.4,1809.8740577697754
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,3,18,10.96875,False,3,3217.123031616211
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-3,-18,-12.375,False,-18,1683.3720207214355
31,-1,-6,-3.109375,True,-3.1,2193.8281059265137
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-3,-18,-11.4375,False,-3,2300.529956817627
33,3,18,11.203125,True,11.2,2017.827033996582
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,1,6,4.125,False,1,1164.8931503295898
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,4,24,14.0,False,4,1446.030855178833
36,1,6,4.4375,True,4.4,1331.4402103424072
37,4,24,19.0,True,19.0,1578.6678791046143
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-3,-18,-10.96875,False,-3,1558.763027191162
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-3,-18,-10.734375,False,-18,2422.229051589966
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-2,-12,-7.0,False,-2,3875.1790523529053
41,4,24,16.5,True,16.5,2139.2312049865723
42,1,6,4.28125,True,4.3,1403.101921081543
43,1,6,4.203125,True,4.2,1122.2021579742432
44,-4,-24,-10.875,True,-10.9,2432.6069355010986
45,-2,-12,-4.5,True,-4.5,2038.0918979644775
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,-4,-24,-11.1875,False,-4,4663.919925689697
47,2,12,7.0,True,7.0,1484.6878051757812
48,-2,-12,-5.75,True,-5.8,1473.4139442443848
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,2,12,4.5,False,2,1628.2119750976562
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,4,24,15.25,False,4,1955.5778503417969
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,2,12,5.75,False,12,1144.3109512329102
52,-2,-12,-6.375,True,-6.4,2708.606958389282
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,2,12,6.375,False,12,1042.0498847961426
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,2,12,6.6875,False,2,1898.3871936798096
55,4,24,15.875,True,15.9,1897.6750373840332
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,4,24,15.5625,False,4,1504.1530132293701
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,2,12,6.84375,False,12,978.0490398406982
58,-2,-12,-6.6875,True,-6.7,1412.1270179748535
59,-2,-12,-6.84375,True,-6.8,1214.367151260376
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,6.765625,-6.765625,0,False,-6.8,4157.525062561035
61,4.2421875,-4.2421875,0,True,0,3906.018018722534
<bound method App.trialNo of <__main__.App object at 0x1023d0dd8>>,15.71875,-15.71875,0,False,15.7,1151.9341468811035
63,15.71875,-55.015625,0,True,0,1621.5059757232666
