trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,3,18,10.5,False,3,2794.8989868164062
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-4,-24,-14.0,False,-24,6144.601106643677
2,3,18,14.25,True,14.2,3699.805974960327
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-2,-12,-7.0,False,-2,3266.451120376587
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,3,18,12.375,False,18,3313.6768341064453
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,3,18,13.3125,False,3,2248.188018798828
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,3,18,13.78125,False,3,2609.028100967407
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,1,6,3.5,False,1,4502.671957015991
8,-2,-12,-4.5,True,-4.5,2091.499090194702
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-1,-6,-3.5,False,-6,2506.6630840301514
10,1,6,4.75,True,4.8,1521.3098526000977
11,-1,-6,-2.25,True,-2.2,3469.9060916900635
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,2,12,7.0,False,12,3592.9670333862305
13,2,12,9.5,True,9.5,1756.1659812927246
14,2,12,8.25,True,8.2,2688.472032546997
15,-1,-6,-2.875,True,-2.9,2052.0808696746826
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-1,-6,-3.1875,False,-1,4165.579080581665
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-5,-30,-17.5,False,-5,5937.788009643555
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,2,12,7.625,False,2,1903.2020568847656
19,-2,-12,-5.75,True,-5.8,3040.4140949249268
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,4,24,14.0,False,24,1311.3160133361816
21,3,18,14.015625,True,14.0,2328.0680179595947
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-1,-6,-3.03125,False,-6,2698.292016983032
23,-5,-30,-11.25,True,-11.2,6825.5040645599365
24,-1,-6,-2.953125,True,-3.0,2770.112991333008
25,-4,-24,-9.0,True,-9.0,2615.583896636963
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-5,-30,-14.375,False,-30,3393.2440280914307
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,5,30,17.5,False,30,1693.4778690338135
28,5,30,23.75,True,23.8,2126.0018348693848
29,5,30,20.625,True,20.6,2750.864028930664
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,-4,-24,-11.5,False,-4,2931.1580657958984
<bound method App.trialNo of <__main__.App object at 0x1023d0e10>>,5,30,19.0625,False,5,2352.3290157318115
32,1,6,4.125,True,4.1,2284.679174423218
33,-4,-24,-10.25,True,-10.2,2255.718946456909
34,5,30,19.84375,True,19.8,1668.0760383605957
35,4,24,19.0,True,19.0,1763.6480331420898
