trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,4.28125,True,4.3,1517.1270370483398
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,1,6,2.640625,False,6,1137.7530097961426
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-11.7890625,0,True,0,2270.5399990081787
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-5.89453125,0,False,-5.9,2715.3828144073486
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-38.314453125,0,False,11.8,2566.833019256592
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-54.5244140625,0,True,0,1612.7660274505615
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-3.4609375,0,False,3.5,1856.112003326416
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-12.11328125,0,True,0,1148.6029624938965
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-11.34375,0,False,-11.3,1358.1480979919434
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-27.26220703125,0,True,0,1185.8160495758057
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,8.953125,-8.953125,0,False,9.0,1306.183099746704
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,8.953125,-31.3359375,0,True,0,1576.6549110412598
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-39.703125,0,True,0,1065.798044204712
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-19.8515625,0,True,0,1824.8460292816162
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-6.056640625,0,True,0,1192.7180290222168
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,8.953125,-15.66796875,0,True,0,2235.360860824585
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-9.92578125,0,True,0,1224.6739864349365
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,8.953125,-7.833984375,0,False,-7.8,1333.6050510406494
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,8.953125,-30.7763671875,0,True,0,1392.529010772705
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,9.1015625,-9.1015625,0,False,-9.1,1146.0480690002441
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-4.962890625,0,False,11.3,978.9810180664062
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,8.953125,-15.38818359375,0,True,0,1110.0950241088867
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-36.5126953125,0,True,0,879.3668746948242
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,9.1015625,-31.85546875,0,True,0,1006.943941116333
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.34375,-11.34375,0,False,11.3,3544.9609756469727
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,8.953125,-8.953125,0,False,-9.0,2653.9390087127686
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-3.0283203125,0,False,3.5,1168.0409908294678
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,9.1015625,-15.927734375,0,True,0,1456.0871124267578
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-11.89697265625,0,True,0,1888.4198665618896
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-13.631103515625,0,True,0,2488.9280796051025
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,9.1015625,-7.9638671875,0,False,-8.0,1217.1430587768555
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,9.1015625,-31.28662109375,0,True,0,1205.3959369659424
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,9.1015625,-15.643310546875,0,True,0,951.8969058990479
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,11.7890625,-11.7890625,0,False,11.8,1464.5109176635742
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,9.1015625,-9.1015625,0,False,9.1,1134.2720985412598
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-5.948486328125,0,True,0,1124.770164489746
<bound method App.trialNo of <__main__.App object at 0x1022c3278>>,3.4609375,-3.4609375,0,False,-3.5,1029.7620296478271
