trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-4,-24,-14.0,False,-24,17672.904014587402
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,4,24,14.0,True,14.0,3935.1959228515625
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-7.0,False,-2,16825.07300376892
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-4,-24,-19.0,False,-4,3619.2879676818848
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,17.5,True,17.5,10670.965909957886
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,11.25,False,30,2912.7330780029297
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-9.5,False,-12,5947.30281829834
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,7.0,True,7.0,8785.393953323364
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-4,-24,-21.5,False,-4,3264.2059326171875
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,10.5,True,10.5,5285.972833633423
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,6.75,False,3,2724.653959274292
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-10.5,True,-10.5,8721.484899520874
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-10.75,False,-12,2130.0809383392334
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,12.375,True,12.4,6141.547918319702
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,7.6875,False,18,10596.441984176636
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-6.75,True,-6.8,3594.377040863037
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,4.5,False,12,2934.9498748779297
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,20.625,True,20.6,3862.4610900878906
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,8.25,True,8.2,2522.9408740997314
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-4.875,True,-4.9,2903.3899307250977
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,12.84375,True,12.8,1522.5610733032227
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-4,-24,-22.75,False,-24,2824.9170780181885
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-11.375,False,-2,2753.9329528808594
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-3.9375,True,-3.9,3379.642963409424
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,12.8125,False,30,3708.8301181793213
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-3.46875,True,-3.5,1642.1539783477783
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-17.5,True,-17.5,9291.146039962769
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-4,-24,-23.375,False,-4,2486.6838455200195
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-11.25,True,-11.2,3737.3077869415283
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-8.125,True,-8.1,1662.4839305877686
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-3.5,True,-3.5,8843.093872070312
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,7.921875,False,18,3392.346143722534
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-3.234375,True,-3.2,1879.702091217041
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,3.5,True,3.5,5750.162839889526
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-11.6875,False,-12,2314.9609565734863
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-4,-24,-23.6875,False,-24,1609.7440719604492
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-6.5625,True,-6.6,2024.0609645843506
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-5.78125,True,-5.8,1621.725082397461
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-2.25,True,-2.2,3729.8178672790527
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-5.390625,True,-5.4,1399.3048667907715
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,5.125,False,12,6018.72181892395
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,21.40625,True,21.4,2177.037000656128
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,4,24,9.0,False,4,3832.131862640381
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-1.625,True,-1.6,2233.3931922912598
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,2.25,False,6,3263.9920711517334
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-1.3125,True,-1.3,1330.2221298217773
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-11.84375,False,-2,2127.6679039001465
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,13.203125,False,5,5091.868162155151
