trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms),,
40,5,30,17.109375,TRUE,17.1,1243.129015,,0.5x(u(5)-u(30)) + u(30) = 17.1
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,5.984375,-5.984375,0,FALSE,6,1487.784863,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,5.984375,-20.9453125,0,FALSE,-20.9,719.479084,,
71,5.984375,-28.42578125,0,TRUE,0,1312.988043,,
72,5.984375,-24.68554688,0,TRUE,0,1086.195946,,
73,5.984375,-22.81542969,0,TRUE,0,1350.031853,,
74,5.984375,-21.88037109,0,TRUE,0,1192.68322,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,5.984375,-5.984375,0,FALSE,6,1471.562147,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,8.0390625,-8.0390625,0,FALSE,-8,1219.987869,,
66,8.0390625,-28.13671875,0,TRUE,0,1470.72196,,
68,8.0390625,-18.08789063,0,TRUE,0,1079.469919,,
69,8.0390625,-13.06347656,0,TRUE,0,1763.635159,,
70,8.0390625,-10.55126953,0,TRUE,0,1607.754946,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,8.0390625,-9.295166016,0,FALSE,8,1116.20903,,
82,8.0390625,-8.0390625,0,TRUE,0,1410.013199,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,13.21875,-13.21875,0,FALSE,-13.2,1743.929863,,
83,13.21875,-46.265625,0,TRUE,0,1266.738892,,
85,13.21875,-29.7421875,0,TRUE,0,1049.435854,,
86,13.21875,-21.48046875,0,TRUE,0,1087.568045,,
88,13.21875,-17.34960938,0,TRUE,0,1051.50485,,
92,13.21875,-15.28417969,0,TRUE,0,1819.812059,,
94,13.21875,-13.21875,0,TRUE,0,1236.27305,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,16.9140625,-16.9140625,0,FALSE,16.9,1979.13003,,
84,16.9140625,-59.19921875,0,TRUE,0,1146.126032,,
87,16.9140625,-38.05664063,0,TRUE,0,1038.700104,,
89,16.9140625,-27.48535156,0,TRUE,0,1212.893009,,
90,16.9140625,-22.19970703,0,TRUE,0,1014.163971,,
91,16.9140625,-19.55688477,0,TRUE,0,1973.19293,,
<bound method App.trialNo of <__main__.App object at 0x101ae0f98>>,16.9140625,-16.9140625,0,FALSE,16.9,1243.505955,,
