trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-1,-6,-3.5,False,-6,4686.784982681274
1,-1,-6,-2.25,True,-2.2,6262.195110321045
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-2,-12,-7.0,False,-2,3592.463970184326
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-1,-6,-2.875,False,-6,1662.4150276184082
4,5,30,17.5,True,17.5,1507.7590942382812
5,4,24,14.0,True,14.0,3348.459005355835
6,5,30,11.25,True,11.2,2232.3639392852783
7,5,30,8.125,True,8.1,2499.0408420562744
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-2,-12,-4.5,False,-2,3383.552074432373
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-2,-12,-3.25,False,-12,1763.0231380462646
10,4,24,9.0,True,9.0,1527.0969867706299
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-3,-18,-10.5,False,-3,2229.382038116455
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-3,-18,-6.75,False,-3,5089.550018310547
13,4,24,6.5,True,6.5,1729.8200130462646
14,5,30,6.5625,True,6.6,2612.28609085083
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-1,-6,-2.5625,False,-6,2397.5210189819336
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-4,-24,-14.0,False,-24,2535.3381633758545
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,4,24,5.25,False,24,2228.688955307007
18,2,12,7.0,True,7.0,3604.448080062866
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,1,6,3.5,False,1,1563.2188320159912
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,3,18,10.5,False,18,1241.8298721313477
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-5,-30,-17.5,False,-30,3959.77783203125
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-1,-6,-2.40625,False,-1,1799.0269660949707
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,4,24,5.875,False,4,1175.1859188079834
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,3,18,14.25,False,3,782.6659679412842
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-3,-18,-4.875,False,-3,2961.47084236145
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-3,-18,-3.9375,False,-18,1820.4731941223145
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,5,30,5.78125,False,5,1414.0779972076416
<bound method App.trialNo of <__main__.App object at 0x101bd1da0>>,-4,-24,-9.0,False,-24,1965.980052947998
