trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-1,-6,-3.5,False,-1,7965.579032897949
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,4,24,14.0,True,14.0,2326.536178588867
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,4,24,9.0,True,9.0,4305.083990097046
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,5,30,17.5,True,17.5,3773.030996322632
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-5,-30,-17.5,True,-17.5,3523.8749980926514
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-3,-18,-10.5,False,-18,3756.732940673828
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,2,12,7.0,True,7.0,2033.9109897613525
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-4,-24,-14.0,False,-4,4592.5798416137695
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,4,24,6.5,True,6.5,1706.226110458374
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,3,18,10.5,False,3,6761.388063430786
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-4,-24,-19.0,False,-24,2798.081874847412
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-3,-18,-14.25,False,-18,2594.1309928894043
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,3,18,14.25,True,14.2,1150.421142578125
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-5,-30,-11.25,True,-11.2,1727.3180484771729
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-5,-30,-8.125,True,-8.1,2662.7020835876465
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,4,24,5.25,True,5.2,1321.1100101470947
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,4,24,4.625,True,4.6,821.9418525695801
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-5,-30,-6.5625,True,-6.6,1383.208990097046
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-4,-24,-21.5,False,-24,8023.355960845947
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,3,18,8.625,True,8.6,3185.9130859375
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,2,12,4.5,False,2,3166.1148071289062
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,1,6,3.5,False,6,1450.4280090332031
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-5,-30,-5.78125,True,-5.8,1497.1041679382324
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,3,18,5.8125,True,5.8,3170.3500747680664
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,5,30,11.25,True,11.2,2542.5171852111816
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,1,6,4.75,False,1,1666.593074798584
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-3,-18,-16.125,False,-3,2139.050006866455
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-2,-12,-7.0,False,-12,2299.023151397705
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,4,24,4.3125,False,4,2094.0709114074707
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-3,-18,-17.0625,True,-17.1,3353.705883026123
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,2,12,8.25,True,8.2,2933.603048324585
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,5,30,8.125,True,8.1,2884.467124938965
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-5,-30,-5.390625,True,-5.4,1573.0359554290771
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,2,12,5.125,True,5.1,2107.309103012085
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,2,12,3.5625,False,12,2765.687942504883
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,1,6,5.375,True,5.4,2055.820941925049
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-4,-24,-22.75,False,-4,1824.7621059417725
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-2,-12,-9.5,True,-9.5,7095.404148101807
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-3,-18,-10.03125,True,-10.0,2297.0659732818604
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,2,12,7.78125,True,7.8,5002.003908157349
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-3,-18,-6.515625,True,-6.5,4728.479862213135
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-2,-12,-5.75,True,-5.8,2747.899055480957
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,5,30,6.5625,True,6.6,1267.3439979553223
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-1,-6,-4.75,False,-6,2289.926052093506
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-2,-12,-3.875,False,-2,1976.6910076141357
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,-4,-24,-23.375,False,-24,1780.578851699829
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,5,30,5.78125,False,30,3903.2349586486816
<bound method App.trialNo of <__main__.App object at 0x1023c32b0>>,1,6,3.1875,False,1,1697.7500915527344
