trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
0,4,24,14.0,True,14.0,2846.0121154785156
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,-3,-18,-10.5,False,-3,1901.304006576538
2,-4,-24,-14.0,True,-14.0,2208.9149951934814
3,4,24,9.0,True,9.0,2322.0090866088867
4,2,12,7.0,True,7.0,1683.6278438568115
5,-1,-6,-3.5,True,-3.5,3011.4710330963135
6,5,30,17.5,True,17.5,870.1550960540771
7,-1,-6,-4.75,True,-4.8,1670.7069873809814
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,-4,-24,-19.0,False,-4,1289.729118347168
9,-4,-24,-16.5,True,-16.5,3062.9050731658936
10,5,30,11.25,True,11.2,1201.8508911132812
11,-1,-6,-5.375,True,-5.4,1544.7108745574951
12,-5,-30,-17.5,True,-17.5,2005.5491924285889
13,1,6,3.5,True,3.5,1650.4478454589844
14,-2,-12,-7.0,True,-7.0,2688.9820098876953
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,-2,-12,-9.5,False,-2,2919.7309017181396
16,-2,-12,-8.25,True,-8.2,4686.928987503052
17,2,12,4.5,True,4.5,2421.447992324829
18,3,18,10.5,True,10.5,1084.656000137329
19,-4,-24,-17.75,True,-17.8,3386.2709999084473
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,3,18,6.75,False,18,2917.840003967285
21,4,24,6.5,True,6.5,1276.5958309173584
22,-2,-12,-8.875,True,-8.9,2070.2271461486816
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,-1,-6,-5.6875,False,-1,2369.903087615967
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,5,30,8.125,False,5,3888.2880210876465
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,-2,-12,-9.1875,False,-2,2632.7168941497803
<bound method App.trialNo of <__main__.App object at 0x101bd1e10>>,5,30,9.6875,False,5,1732.5739860534668
