trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-5,-30,-17.5,False,-5,5965.781927108765
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-2,-12,-7.0,False,-2,4596.3780879974365
2,-2,-12,-4.5,True,-4.5,2367.8789138793945
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-5,-30,-11.25,False,-5,2929.3949604034424
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-3,-18,-10.5,False,-18,3910.9411239624023
5,4,24,14.0,True,14.0,1671.8189716339111
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-4,-24,-14.0,False,-24,2977.729082107544
7,-4,-24,-9.0,True,-9.0,1556.466817855835
8,-5,-30,-8.125,True,-8.1,1472.7058410644531
9,-4,-24,-11.5,True,-11.5,1234.8811626434326
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,1,6,3.5,False,1,2912.5850200653076
11,4,24,9.0,True,9.0,1654.5660495758057
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-4,-24,-12.75,False,-24,2302.673101425171
13,1,6,4.75,True,4.8,1151.2060165405273
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-4,-24,-12.125,False,-24,6607.6929569244385
15,-2,-12,-5.75,True,-5.8,1399.1878032684326
16,-3,-18,-6.75,True,-6.8,3401.456117630005
17,-4,-24,-11.8125,True,-11.8,1239.5272254943848
18,-2,-12,-6.375,True,-6.4,1331.6371440887451
19,-3,-18,-8.625,True,-8.6,1269.726037979126
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,3,18,10.5,False,18,1556.886911392212
21,5,30,17.5,True,17.5,1887.5749111175537
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,5,30,11.25,False,5,3044.2159175872803
23,3,18,14.25,True,14.2,1308.109998703003
24,-2,-12,-6.6875,True,-6.7,3668.4961318969727
25,-5,-30,-9.6875,True,-9.7,2138.853073120117
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-5,-30,-10.46875,False,-5,2070.935010910034
27,-1,-6,-3.5,True,-3.5,1543.726921081543
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,2,12,7.0,False,12,1487.2651100158691
29,-5,-30,-10.078125,True,-10.1,2474.6718406677246
30,1,6,4.125,True,4.1,1980.3271293640137
31,-2,-12,-6.84375,True,-6.8,4786.769866943359
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-3,-18,-9.5625,False,-18,1529.6540260314941
33,-3,-18,-9.09375,True,-9.1,1298.3360290527344
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,4,24,6.5,False,4,2779.378890991211
35,-3,-18,-9.328125,True,-9.3,2977.33211517334
36,5,30,14.375,True,14.4,649.3618488311768
37,1,6,3.8125,True,3.8,982.6071262359619
38,1,6,3.65625,True,3.7,630.316972732544
39,4,24,7.75,True,7.8,702.7130126953125
40,-1,-6,-4.75,True,-4.8,965.1238918304443
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,4,24,7.125,False,24,1535.2389812469482
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,5,30,12.8125,False,30,1664.660930633545
43,3,18,12.375,True,12.4,1382.8809261322021
44,2,12,9.5,True,9.5,867.1169281005859
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,4,24,7.4375,False,24,2261.439085006714
46,-1,-6,-5.375,True,-5.4,1385.0619792938232
47,1,6,3.578125,True,3.6,3464.0841484069824
48,-1,-6,-5.6875,True,-5.7,1431.8780899047852
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,3,18,11.4375,False,18,2569.0410137176514
50,-1,-6,-5.84375,True,-5.8,1534.48486328125
51,-1,-6,-5.921875,True,-5.9,3931.978940963745
52,2,12,8.25,True,8.2,1696.5739727020264
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,5,30,13.59375,False,5,4547.675132751465
54,5,30,13.984375,True,14.0,872.3669052124023
55,3,18,11.90625,True,11.9,2492.227077484131
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,3,18,11.671875,False,3,2582.1330547332764
57,2,12,7.625,True,7.6,1227.5819778442383
58,2,12,7.3125,True,7.3,716.2108421325684
59,2,12,7.15625,True,7.2,654.9160480499268
60,13.7890625,-13.7890625,0,True,0,5167.5989627838135
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,3.6171875,-3.6171875,0,False,3.6,2410.3269577026367
62,7.28125,-7.28125,0,True,0,2075.4730701446533
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,13.7890625,-6.89453125,0,False,-6.9,2076.493978500366
64,11.7890625,-11.7890625,0,True,0,1099.9510288238525
65,13.7890625,-10.341796875,0,True,0,5562.685012817383
66,3.6171875,-12.66015625,0,True,0,1823.3411312103271
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,11.7890625,-5.89453125,0,False,-5.9,1883.9209079742432
68,3.6171875,-8.138671875,0,True,0,1321.281909942627
69,7.234375,-7.234375,0,True,0,3176.607131958008
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,7.28125,-3.640625,0,False,7.3,1751.997947692871
71,7.28125,-5.4609375,0,True,0,1044.0809726715088
72,3.6171875,-5.8779296875,0,True,0,946.0880756378174
73,7.234375,-3.6171875,0,True,0,681.1630725860596
