trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,2,12,7.0,True,7.0,7768.262147903442
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-5,-30,-17.5,False,-30,14784.498929977417
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,3,18,10.5,True,10.5,7565.510034561157
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-5,-30,-23.75,False,-30,8251.101970672607
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,4,24,14.0,True,14.0,12664.9329662323
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-4,-24,-14.0,False,-24,10564.740896224976
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-1,-6,-3.5,False,-6,5258.3019733428955
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,3,18,6.75,False,18,2405.4718017578125
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-3,-18,-10.5,False,-18,7927.357912063599
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-5,-30,-26.875,False,-5,3705.766201019287
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-3,-18,-14.25,False,-3,8005.934000015259
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,1,6,3.5,True,3.5,6160.466194152832
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,3,18,12.375,True,12.4,9305.655002593994
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-5,-30,-28.4375,False,-5,4135.628223419189
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-3,-18,-16.125,False,-18,3558.674097061157
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,4,24,9.0,False,4,12002.063989639282
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,4,24,16.5,True,16.5,3940.009832382202
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,5,30,17.5,True,17.5,9152.577877044678
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,4,24,10.25,False,24,4397.66001701355
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-2,-12,-7.0,True,-7.0,5730.804920196533
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-2,-12,-4.5,True,-4.5,3949.186086654663
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-5,-30,-29.21875,False,-30,3556.57696723938
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,1,6,2.25,False,1,5116.750001907349
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,2,12,4.5,False,2,2439.846992492676
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,4,24,17.125,True,17.1,2011.86203956604
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-2,-12,-3.25,True,-3.2,3566.783905029297
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,4,24,10.5625,False,4,7714.766979217529
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-1,-6,-4.75,False,-6,6170.782089233398
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-5,-30,-29.609375,False,-30,3170.1650619506836
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-1,-6,-5.375,False,-1,3728.559970855713
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,3,18,7.6875,False,3,2862.7259731292725
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-4,-24,-19.0,False,-24,3765.7101154327393
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,1,6,4.125,True,4.1,2854.5329570770264
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,5,30,11.25,False,30,4137.129068374634
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,5,30,20.625,True,20.6,3416.2189960479736
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-2,-12,-2.625,True,-2.6,3321.9351768493652
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-3,-18,-17.0625,False,-18,3821.171998977661
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,5,30,12.8125,False,30,7840.527057647705
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,5,30,21.40625,True,21.4,1895.0750827789307
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,5,30,13.203125,True,13.2,7626.092910766602
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,2,12,8.25,True,8.2,4139.244079589844
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,1,6,2.5625,True,2.6,6658.1480503082275
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-1,-6,-5.6875,False,-1,2577.8679847717285
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,3,18,12.84375,True,12.8,3225.9209156036377
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-2,-12,-2.3125,True,-2.3,3534.0209007263184
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,1,6,1.78125,False,1,5300.7378578186035
<bound method App.trialNo of <__main__.App object at 0x1023c3400>>,-3,-18,-17.53125,False,-18,7041.9111251831055
