trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-1,-6,-3.5,False,-6,4262.850999832153
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,2,12,7.0,False,2,4329.822063446045
2,-5,-30,-17.5,True,-17.5,7616.430997848511
3,-4,-24,-14.0,True,-14.0,3262.004852294922
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-5,-30,-23.75,False,-30,1181.4680099487305
5,-4,-24,-19.0,True,-19.0,2195.4808235168457
6,-3,-18,-10.5,True,-10.5,3095.4489707946777
7,-4,-24,-21.5,True,-21.5,2297.9400157928467
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,1,6,3.5,False,6,2356.348991394043
9,-5,-30,-20.625,True,-20.6,3866.392135620117
10,-1,-6,-2.25,True,-2.2,2790.259838104248
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,1,6,4.75,False,6,2800.525903701782
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,3,18,10.5,False,3,2659.9152088165283
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-2,-12,-7.0,False,-12,7583.914995193481
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,4,24,14.0,False,4,5816.247224807739
15,-5,-30,-22.1875,True,-22.2,4819.483995437622
16,2,12,9.5,True,9.5,2061.115026473999
17,1,6,5.375,True,5.4,4910.704135894775
18,5,30,17.5,True,17.5,3784.783124923706
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-5,-30,-22.96875,False,-30,4761.525869369507
20,4,24,19.0,True,19.0,1352.9980182647705
21,3,18,14.25,True,14.2,1204.2970657348633
22,2,12,8.25,True,8.2,2823.9030838012695
23,4,24,16.5,True,16.5,1967.768907546997
24,-2,-12,-4.5,True,-4.5,1518.9480781555176
25,-5,-30,-22.578125,True,-22.6,8792.805910110474
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-2,-12,-5.75,False,-12,4209.474086761475
27,1,6,5.0625,True,5.1,2592.5490856170654
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-2,-12,-5.125,False,-12,3541.195869445801
29,-4,-24,-22.75,True,-22.8,3192.275047302246
30,5,30,11.25,True,11.2,2660.460948944092
31,2,12,7.625,True,7.6,1216.576099395752
32,3,18,12.375,True,12.4,2291.5170192718506
33,-1,-6,-2.875,True,-2.9,2666.1431789398193
34,2,12,7.3125,True,7.3,1222.505807876587
35,3,18,11.4375,True,11.4,2684.3080520629883
36,-4,-24,-23.375,True,-23.4,1606.6648960113525
37,-4,-24,-23.6875,True,-23.7,2789.6888256073
38,3,18,10.96875,True,11.0,963.3188247680664
39,3,18,10.734375,True,10.7,835.30592918396
40,-2,-12,-4.8125,True,-4.8,808.6931705474854
41,4,24,15.25,True,15.2,1637.5529766082764
42,-1,-6,-3.1875,True,-3.2,585.8809947967529
43,1,6,4.90625,True,4.9,1577.9669284820557
44,2,12,7.15625,True,7.2,1114.832878112793
45,4,24,14.625,True,14.6,4474.071979522705
46,-2,-12,-4.96875,True,-5.0,3138.5550498962402
47,-3,-18,-14.25,True,-14.2,2969.1500663757324
48,4,24,14.3125,True,14.3,1781.7928791046143
49,-3,-18,-16.125,True,-16.1,1963.5751247406006
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-1,-6,-3.34375,False,-1,3094.4080352783203
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,5,30,8.125,False,30,2299.952983856201
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,5,30,9.6875,False,30,1925.1439571380615
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-1,-6,-3.265625,False,-1,6912.596940994263
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,1,6,4.828125,False,6,13242.81907081604
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,5,30,10.46875,False,5,2155.5240154266357
56,5,30,10.859375,True,10.9,2772.4971771240234
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-3,-18,-17.0625,False,-18,3968.9581394195557
58,-3,-18,-16.59375,True,-16.6,2758.755922317505
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,-3,-18,-16.828125,False,-3,4720.705032348633
60,7.234375,-7.234375,0,True,0,8737.298965454102
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,7.234375,-3.6171875,0,False,7.2,5230.85880279541
62,10.6640625,-10.6640625,0,True,0,1910.6318950653076
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,4.8671875,-4.8671875,0,False,-4.9,3666.318893432617
64,10.8515625,-10.8515625,0,True,0,667.7639484405518
65,4.8671875,-17.03515625,0,True,0,2980.8270931243896
66,7.234375,-5.42578125,0,True,0,2168.2939529418945
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,7.234375,-4.521484375,0,False,-4.5,1780.707836151123
68,10.6640625,-5.33203125,0,True,0,1573.354959487915
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,10.6640625,-2.666015625,0,False,10.7,2085.146188735962
70,10.8515625,-5.42578125,0,True,0,1492.6888942718506
71,4.8671875,-10.951171875,0,True,0,1465.6457901000977
72,10.6640625,-3.9990234375,0,True,0,1732.2649955749512
73,10.6640625,-3.33251953125,0,True,0,1410.3639125823975
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,10.6640625,-2.999267578125,0,False,10.7,1598.3121395111084
75,7.234375,-4.9736328125,0,True,0,2586.3468647003174
<bound method App.trialNo of <__main__.App object at 0x1023d1fd0>>,10.8515625,-2.712890625,0,False,10.9,1553.5528659820557
77,10.8515625,-4.0693359375,0,True,0,1820.5931186676025
78,10.8515625,-3.39111328125,0,True,0,6557.543992996216
79,4.8671875,-7.9091796875,0,True,0,4982.218980789185
