trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
0,2,12,7.0,True,7.0,3368.708848953247
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-3,-18,-10.5,False,-18,3795.090913772583
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-5,-30,-17.5,False,-5,4309.869050979614
3,-4,-24,-14.0,True,-14.0,4825.039863586426
4,-5,-30,-11.25,True,-11.2,2986.5939617156982
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-1,-6,-3.5,False,-6,4074.131965637207
6,5,30,17.5,True,17.5,2257.3471069335938
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-4,-24,-19.0,False,-4,2014.6830081939697
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,5,30,11.25,False,5,3723.644018173218
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-4,-24,-16.5,False,-4,3212.3279571533203
10,-2,-12,-7.0,True,-7.0,3439.4609928131104
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,2,12,4.5,False,2,2412.508010864258
12,-1,-6,-2.25,True,-2.2,2250.304937362671
13,3,18,10.5,True,10.5,1859.2729568481445
14,-4,-24,-15.25,True,-15.2,3070.8110332489014
15,-4,-24,-15.875,True,-15.9,4243.268966674805
16,4,24,14.0,True,14.0,1817.673921585083
17,1,6,3.5,True,3.5,2021.090030670166
18,-1,-6,-2.875,True,-2.9,1468.4078693389893
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-3,-18,-6.75,False,-18,3946.287155151367
20,-5,-30,-14.375,True,-14.4,1405.7269096374512
21,-1,-6,-3.1875,True,-3.2,3947.4329948425293
22,3,18,6.75,True,6.8,1954.9999237060547
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,1,6,2.25,False,1,2306.6630363464355
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,3,18,4.875,False,18,2876.1749267578125
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,1,6,2.875,False,6,5266.940116882324
26,3,18,5.8125,True,5.8,5349.34401512146
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-4,-24,-16.1875,False,-4,2513.8468742370605
28,5,30,14.375,True,14.4,1647.2280025482178
29,4,24,9.0,True,9.0,1600.6550788879395
30,-3,-18,-4.875,True,-4.9,3991.6720390319824
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,4,24,6.5,False,4,3438.955783843994
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-5,-30,-15.9375,False,-30,2786.426067352295
33,-1,-6,-3.34375,True,-3.3,3151.472806930542
34,2,12,5.75,True,5.8,2499.561071395874
35,-3,-18,-5.8125,True,-5.8,2467.855930328369
36,1,6,3.1875,True,3.2,3499.690055847168
37,-5,-30,-15.15625,True,-15.2,2543.921947479248
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,1,6,3.03125,False,6,3477.396011352539
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,3,18,5.34375,False,3,3269.7901725769043
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,3,18,5.578125,False,3,3276.884078979492
41,-5,-30,-15.546875,True,-15.5,2550.8759021759033
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-1,-6,-3.421875,False,-1,1961.7609977722168
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-2,-12,-9.5,False,-12,2232.8219413757324
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-2,-12,-8.25,False,-2,4455.520153045654
45,5,30,12.8125,True,12.8,3481.069803237915
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,2,12,5.125,False,2,3134.72318649292
47,2,12,5.4375,True,5.4,2703.6221027374268
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,2,12,5.28125,False,12,3532.486915588379
49,5,30,12.03125,True,12.0,1395.5600261688232
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,4,24,7.75,False,4,4646.7039585113525
51,-3,-18,-6.28125,True,-6.3,4632.797956466675
52,1,6,3.109375,True,3.1,2803.26509475708
53,4,24,8.375,True,8.4,1762.6991271972656
54,4,24,8.0625,True,8.1,3276.2351036071777
55,-3,-18,-6.515625,True,-6.5,3048.2211112976074
56,5,30,11.640625,True,11.6,5523.295164108276
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,-2,-12,-7.625,False,-12,5812.424898147583
58,-2,-12,-7.3125,True,-7.3,1723.7269878387451
59,-2,-12,-7.46875,True,-7.5,2529.339075088501
60,8.21875,-8.21875,0,True,0,2835.7739448547363
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,8.21875,-4.109375,0,False,8.2,4095.2908992767334
<bound method App.trialNo of <__main__.App object at 0x101be0da0>>,5.359375,-5.359375,0,False,5.4,3456.907033920288
