trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-2,-12,-7.0,False,-12,8518.985986709595
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,2,12,7.0,False,2,7842.159032821655
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-1,-6,-3.5,False,-6,5214.142084121704
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-3,-18,-10.5,False,-18,3780.4999351501465
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,5,30,17.5,False,5,2934.8020553588867
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-4,-24,-14.0,False,-24,4811.657905578613
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,5,30,23.75,False,30,2430.2852153778076
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-3,-18,-6.75,False,-3,12841.44401550293
8,4,24,14.0,True,14.0,7844.062805175781
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,3,18,10.5,False,3,3652.343988418579
10,-3,-18,-4.875,True,-4.9,3043.379068374634
11,-4,-24,-9.0,True,-9.0,3417.719841003418
12,1,6,3.5,True,3.5,2111.823081970215
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-5,-30,-17.5,False,-5,4074.298143386841
14,-3,-18,-5.8125,True,-5.8,5036.841869354248
15,3,18,14.25,True,14.2,2632.7390670776367
16,3,18,12.375,True,12.4,5989.353895187378
17,2,12,9.5,True,9.5,3525.161027908325
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,3,18,11.4375,False,18,3724.421977996826
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-5,-30,-11.25,False,-5,3856.0428619384766
20,-3,-18,-6.28125,True,-6.3,5860.519886016846
21,-1,-6,-2.25,True,-2.2,2370.9309101104736
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,4,24,9.0,False,24,2530.5190086364746
23,2,12,8.25,True,8.2,8818.645000457764
24,-5,-30,-8.125,True,-8.1,2762.904167175293
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-5,-30,-9.6875,False,-30,2807.767868041992
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,4,24,11.5,False,24,2515.9599781036377
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-4,-24,-11.5,False,-4,9906.768083572388
28,-5,-30,-8.90625,True,-8.9,6092.418909072876
29,5,30,26.875,True,26.9,2128.622055053711
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,1,6,2.25,False,6,3037.166118621826
31,2,12,7.625,True,7.6,4238.803863525391
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,3,18,11.90625,False,18,2825.937032699585
33,-3,-18,-6.515625,True,-6.5,8256.516933441162
34,-1,-6,-2.875,True,-2.9,3368.220090866089
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,4,24,12.75,False,4,1775.2699851989746
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-5,-30,-9.296875,False,-5,2578.657865524292
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,4,24,13.375,False,24,1427.729845046997
38,2,12,7.3125,True,7.3,4519.510984420776
39,4,24,13.6875,True,13.7,3014.9290561676025
40,2,12,7.15625,True,7.2,3453.9451599121094
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-4,-24,-10.25,False,-4,2846.2841510772705
<bound method App.trialNo of <__main__.App object at 0x1023d1e10>>,-4,-24,-9.625,False,-24,3109.774112701416
43,3,18,12.140625,True,12.1,2873.613119125366
44,5,30,25.3125,True,25.3,1890.6149864196777
