trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,1,6,3.5,False,1,8394.574165344238
1,-1,-6,-3.5,True,-3.5,4348.361015319824
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-2,-12,-7.0,False,-2,2277.302026748657
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,2,12,7.0,False,2,4930.817127227783
4,5,30,17.5,True,17.5,1981.8639755249023
5,-5,-30,-17.5,True,-17.5,3091.3338661193848
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-5,-30,-23.75,False,-30,2856.7299842834473
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,5,30,11.25,False,5,1655.242919921875
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-1,-6,-4.75,False,-1,2570.772171020508
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-1,-6,-4.125,False,-1,3093.7860012054443
10,3,18,10.5,True,10.5,1032.4299335479736
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,5,30,14.375,False,30,2416.5000915527344
12,-2,-12,-4.5,True,-4.5,2378.570079803467
13,5,30,15.9375,True,15.9,1492.1209812164307
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,3,18,6.75,False,18,1882.4958801269531
15,-2,-12,-5.75,True,-5.8,1793.6959266662598
16,1,6,4.75,True,4.8,4286.488056182861
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-2,-12,-6.375,False,-2,2021.7070579528809
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,3,18,8.625,False,3,3343.6319828033447
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,5,30,15.15625,False,30,3845.914125442505
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,1,6,4.125,False,6,4362.54096031189
21,4,24,14.0,True,14.0,4468.002080917358
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-5,-30,-20.625,False,-30,1936.384916305542
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-5,-30,-19.0625,False,-5,2445.585012435913
24,1,6,4.4375,True,4.4,2817.966938018799
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-4,-24,-14.0,False,-4,1412.341833114624
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-3,-18,-10.5,False,-3,3002.1629333496094
27,2,12,9.5,True,9.5,2514.2481327056885
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,4,24,9.0,False,24,4878.594160079956
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-2,-12,-6.0625,False,-12,4845.594167709351
30,-2,-12,-5.90625,True,-5.9,3592.747926712036
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,4,24,11.5,False,4,4445.672988891602
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,-4,-24,-9.0,False,-24,3856.9231033325195
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,4,24,12.75,False,24,3911.3869667053223
34,-4,-24,-6.5,True,-6.5,1908.5030555725098
35,-3,-18,-6.75,True,-6.8,2250.365972518921
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,5,30,15.546875,False,5,1832.3791027069092
<bound method App.trialNo of <__main__.App object at 0x102bd1e10>>,2,12,8.25,False,2,1582.4289321899414
