trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,1,6,3.5,False,6,2883.547067642212
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,2,12,7.0,False,12,3572.195053100586
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-1,-6,-3.5,False,-1,5513.635873794556
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,3,18,10.5,False,18,2529.82497215271
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-5,-30,-17.5,False,-30,3655.550956726074
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5,30,17.5,False,30,4926.515102386475
6,-5,-30,-11.25,True,-11.2,4807.596921920776
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,2,12,9.5,False,2,2153.6929607391357
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-4,-24,-14.0,False,-4,5950.343132019043
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,1,6,4.75,False,1,2960.9498977661133
10,2,12,10.75,True,10.8,3452.587127685547
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,2,12,10.125,False,12,2081.859827041626
12,-4,-24,-9.0,True,-9.0,3653.9440155029297
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-4,-24,-11.5,False,-24,4102.6740074157715
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-5,-30,-14.375,False,-5,5311.856985092163
15,-4,-24,-10.25,True,-10.2,3289.2048358917236
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,3,18,14.25,False,3,2899.444818496704
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,3,18,16.125,False,3,1918.8430309295654
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,4,24,14.0,False,24,1893.39280128479
19,2,12,10.4375,True,10.4,2680.527925491333
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5,30,23.75,False,30,2699.164867401123
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,1,6,5.375,False,6,2185.2869987487793
22,-1,-6,-2.25,True,-2.2,4197.577953338623
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-4,-24,-10.875,False,-4,3999.685049057007
24,5,30,26.875,True,26.9,3543.342113494873
25,3,18,17.0625,True,17.1,2062.7079010009766
26,4,24,19.0,True,19.0,2421.3221073150635
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,2,12,10.28125,False,2,4730.388164520264
28,3,18,16.59375,True,16.6,2938.401937484741
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-5,-30,-12.8125,False,-5,3254.1110515594482
30,3,18,16.359375,True,16.4,2973.1061458587646
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-2,-12,-7.0,False,-2,3055.645227432251
32,5,30,25.3125,True,25.3,3987.0100021362305
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-2,-12,-4.5,False,-2,5594.918012619019
34,-2,-12,-3.25,True,-3.2,3199.404001235962
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-3,-18,-10.5,False,-3,2539.3660068511963
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-4,-24,-10.5625,False,-24,2539.3660068511963
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-1,-6,-2.875,False,-6,6447.484016418457
38,-5,-30,-12.03125,True,-12.0,4757.456064224243
39,-2,-12,-3.875,True,-3.9,3862.643003463745
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,4,24,16.5,False,4,3294.229030609131
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-2,-12,-4.1875,False,-12,4508.245944976807
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-5,-30,-12.421875,False,-5,3769.9849605560303
43,5,30,24.53125,True,24.5,2159.4769954681396
44,4,24,17.75,True,17.8,2124.242067337036
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,4,24,17.125,False,24,2301.194906234741
46,-1,-6,-2.5625,True,-2.6,2370.058059692383
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-1,-6,-2.71875,False,-1,3230.031967163086
48,4,24,17.4375,True,17.4,1959.0768814086914
49,1,6,5.6875,True,5.7,1888.2029056549072
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-2,-12,-4.03125,False,-12,2405.151128768921
51,1,6,5.53125,True,5.5,2165.1179790496826
52,1,6,5.453125,True,5.5,1592.1590328216553
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-1,-6,-2.640625,False,-1,5705.790042877197
54,-3,-18,-6.75,True,-6.8,5092.282056808472
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-3,-18,-8.625,False,-18,1791.6631698608398
56,-3,-18,-7.6875,True,-7.7,3761.7290019989014
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-3,-18,-8.15625,False,-3,1857.936143875122
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5,30,24.140625,False,30,15380.638122558594
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,-3,-18,-7.921875,False,-3,2082.159996032715
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,17.28125,-17.28125,0,False,17.3,5222.460985183716
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,10.359375,-10.359375,0,False,-10.4,2282.9389572143555
62,17.28125,-60.484375,0,True,0,2679.476022720337
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,24.3359375,-24.3359375,0,False,24.3,7147.74489402771
64,17.28125,-38.8828125,0,True,0,2665.5759811401367
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,17.28125,-28.08203125,0,False,-28.1,2372.8199005126953
66,24.3359375,-85.17578125,0,True,0,1843.5721397399902
67,17.28125,-33.482421875,0,True,0,2761.3120079040527
68,24.3359375,-54.755859375,0,True,0,7224.287033081055
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,24.3359375,-39.5458984375,0,False,-39.5,1733.5598468780518
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,24.3359375,-47.15087890625,0,False,-47.2,3540.4012203216553
71,17.28125,-30.7822265625,0,True,0,1201.8389701843262
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5.4921875,-5.4921875,0,False,5.5,1543.316125869751
73,5.4921875,-19.22265625,0,True,0,1876.033067703247
74,5.4921875,-12.357421875,0,True,0,1873.7339973449707
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,16.4765625,-16.4765625,0,False,-16.5,1700.2131938934326
76,16.4765625,-57.66796875,0,True,0,2418.058156967163
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,16.4765625,-37.072265625,0,False,16.5,2588.728904724121
78,16.4765625,-47.3701171875,0,True,0,1917.9868698120117
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5.4921875,-8.9248046875,0,False,5.5,1647.1209526062012
80,24.3359375,-50.953369140625,0,True,0,2461.5910053253174
81,10.359375,-36.2578125,0,True,0,2622.39408493042
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5.4921875,-10.64111328125,0,False,5.5,1449.8720169067383
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,16.4765625,-42.22119140625,0,False,16.5,4552.242040634155
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,24.3359375,-24.3359375,0,False,24.3,2028.4299850463867
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5.4921875,-11.499267578125,0,False,5.5,1828.0458450317383
86,10.359375,-23.30859375,0,True,0,2034.3480110168457
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,5.4921875,-5.4921875,0,False,5.5,1529.5488834381104
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,10.359375,-16.833984375,0,False,10.4,1397.0890045166016
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,17.28125,-17.28125,0,False,-17.3,1639.5909786224365
90,16.4765625,-44.795654296875,0,True,0,1716.5179252624512
91,10.359375,-20.0712890625,0,True,0,3440.822124481201
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,16.4765625,-16.4765625,0,False,16.5,2015.239953994751
93,10.359375,-18.45263671875,0,True,0,1844.3851470947266
<bound method App.trialNo of <__main__.App object at 0x1023dfd68>>,10.359375,-10.359375,0,False,10.4,3357.8238487243652
