trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
0,-2,-12,-7.0,True,-7.0,12007.536888122559
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,-2,-12,-9.5,False,-12,2864.225149154663
2,4,24,14.0,True,14.0,5484.402894973755
3,3,18,10.5,True,10.5,2538.6109352111816
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,-2,-12,-8.25,False,-12,4491.4820194244385
5,2,12,7.0,True,7.0,4193.832874298096
6,-4,-24,-14.0,True,-14.0,7437.269926071167
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,-5,-30,-17.5,False,-5,34405.75695037842
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,4,24,9.0,False,4,5892.457962036133
9,-3,-18,-10.5,True,-10.5,6024.550914764404
10,-2,-12,-7.625,True,-7.6,10394.038915634155
11,-5,-30,-11.25,True,-11.2,5342.095136642456
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,-3,-18,-14.25,False,-3,3492.496967315674
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,2,12,4.5,False,12,6767.674922943115
14,-5,-30,-14.375,True,-14.4,6386.077880859375
15,4,24,11.5,True,11.5,2127.6650428771973
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,-4,-24,-19.0,False,-24,7385.581016540527
17,5,30,17.5,True,17.5,1853.0030250549316
18,-1,-6,-3.5,True,-3.5,9174.957036972046
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,-3,-18,-12.375,False,-18,16789.894104003906
20,1,6,3.5,True,3.5,2683.9840412139893
21,5,30,11.25,True,11.2,1839.2541408538818
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,3,18,6.75,False,18,8509.833812713623
<bound method App.trialNo of <__main__.App object at 0x1023e0f98>>,1,6,2.25,False,6,2150.0279903411865
24,-3,-18,-11.4375,True,-11.4,7161.75103187561
25,3,18,8.625,True,8.6,3342.3409461975098
26,-5,-30,-15.9375,True,-15.9,8143.976926803589
