trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-17.5,True,-17.5,4696.753978729248
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-10.5,True,-10.5,8515.380859375
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,17.5,True,17.5,3552.501916885376
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-4,-24,-14.0,True,-14.0,5984.668970108032
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-7.0,True,-7.0,8570.183038711548
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,7.0,True,7.0,4727.324962615967
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,4,24,14.0,True,14.0,1623.4209537506104
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,3.5,True,3.5,9207.803964614868
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,10.5,True,10.5,1939.4550323486328
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,6.75,True,6.8,1537.187099456787
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-4.5,True,-4.5,2742.8619861602783
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,2.25,False,1,3546.445846557617
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-11.25,False,-5,6184.324026107788
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-3.5,True,-3.5,6858.102083206177
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-6.75,True,-6.8,4067.3370361328125
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,4.125,True,4.1,2991.4770126342773
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,4,24,9.0,True,9.0,1413.0380153656006
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-4.875,True,-4.9,2984.7660064697266
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-2.25,True,-2.2,1782.4690341949463
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,11.25,True,11.2,3736.227035522461
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,4.5,False,2,3589.8752212524414
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,8.25,True,8.2,1035.9320640563965
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-3.9375,True,-3.9,2251.3318061828613
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-1.625,True,-1.6,2138.814926147461
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,5.125,True,5.1,1312.1449947357178
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-3.46875,True,-3.5,1874.5930194854736
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,2.5625,True,2.6,5775.471925735474
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-1.3125,True,-1.3,1591.7069911956787
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-20.625,False,-30,5030.779838562012
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-1.15625,True,-1.2,1158.8828563690186
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,4,24,6.5,True,6.5,2261.0878944396973
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,1.78125,True,1.8,1960.151195526123
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-25.3125,False,-30,4336.481094360352
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,4,24,5.25,False,4,1792.341947555542
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-2,-12,-3.25,True,-3.2,2246.1628913879395
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,4.875,False,18,3110.3341579437256
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-3,-18,-3.234375,True,-3.2,1157.3798656463623
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,11.4375,True,11.4,2412.8479957580566
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,1,6,1.390625,False,1,2937.175989151001
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-27.65625,False,-5,2032.9439640045166
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,2,12,3.5625,False,12,5253.029823303223
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,3,18,7.21875,True,7.2,6652.050971984863
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-5,-30,-28.828125,False,-30,1379.8789978027344
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,5,30,8.125,False,5,2580.7039737701416
<bound method App.trialNo of <__main__.App object at 0x1023c3390>>,-1,-6,-1.078125,True,-1.1,3224.925994873047
