trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-4,-24,-14.0,False,-24,8483.185052871704
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,1,6,3.5,True,3.5,2160.0050926208496
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-5,-30,-17.5,False,-30,3884.3472003936768
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,2,12,7.0,True,7.0,2796.2989807128906
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-1,-6,-3.5,True,-3.5,2211.967945098877
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,4,24,14.0,True,14.0,1596.4601039886475
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-1,-6,-2.25,True,-2.2,2251.4941692352295
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,2,12,4.5,True,4.5,1393.4240341186523
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,4,24,9.0,True,9.0,1679.353952407837
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-2,-12,-7.0,False,-12,1995.3680038452148
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,1,6,2.25,True,2.2,1482.572078704834
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-1,-6,-1.625,True,-1.6,1337.0249271392822
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,3,18,10.5,True,10.5,1655.750036239624
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-1,-6,-1.3125,True,-1.3,2597.9599952697754
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-5,-30,-23.75,False,-5,3029.240131378174
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-1,-6,-1.15625,True,-1.2,3735.2991104125977
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-2,-12,-9.5,False,-2,4296.082973480225
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,5,30,17.5,True,17.5,2561.8770122528076
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,2,12,3.25,False,2,2392.9479122161865
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-1,-6,-1.078125,True,-1.1,1640.3279304504395
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,4,24,6.5,False,4,2210.3431224823
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-3,-18,-10.5,True,-10.5,3630.162000656128
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,3,18,6.75,False,18,3335.3259563446045
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,5,30,11.25,True,11.2,4954.019069671631
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,1,6,1.625,False,6,3238.3029460906982
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-2,-12,-10.75,False,-12,2973.867893218994
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-3,-18,-6.75,True,-6.8,4337.2368812561035
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-3,-18,-4.875,True,-4.9,5327.537059783936
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-3,-18,-3.9375,True,-3.9,2517.9240703582764
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,5,30,8.125,False,30,5802.87504196167
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-3,-18,-3.46875,True,-3.5,2021.8908786773682
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-3,-18,-3.234375,True,-3.2,1583.7829113006592
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,4,24,15.25,True,15.2,2388.092041015625
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-2,-12,-11.375,False,-12,3104.379177093506
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,2,12,7.625,True,7.6,3524.6660709381104
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-5,-30,-26.875,False,-5,25312.559127807617
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,1,6,3.8125,False,1,3539.963960647583
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-4,-24,-19.0,False,-24,3836.416006088257
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,4,24,9.625,True,9.6,1296.781063079834
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-5,-30,-28.4375,False,-30,4322.038888931274
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,4,24,6.8125,False,24,3441.211938858032
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-2,-12,-11.6875,False,-12,3854.740858078003
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,3,18,12.375,True,12.4,1735.0070476531982
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,1,6,4.90625,True,4.9,2421.175003051758
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-5,-30,-29.21875,False,-5,2425.9488582611084
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,3,18,7.6875,False,18,2815.0382041931152
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,3,18,12.84375,True,12.8,2208.688974380493
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,1,6,2.953125,False,1,6370.415925979614
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-2,-12,-11.84375,False,-2,3019.929885864258
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,2,12,4.8125,True,4.8,1338.9370441436768
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,3,18,7.921875,True,7.9,2316.6849613189697
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,2,12,3.40625,False,2,2354.3150424957275
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-5,-30,-29.609375,False,-5,1562.520980834961
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-4,-24,-21.5,False,-4,2882.819175720215
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,5,30,19.0625,True,19.1,1481.7149639129639
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,5,30,12.03125,True,12.0,2139.1940116882324
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,5,30,8.515625,False,5,4548.013925552368
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-4,-24,-22.75,False,-4,2293.936014175415
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-4,-24,-23.375,False,-24,4044.734001159668
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,-4,-24,-23.6875,False,-24,1941.2891864776611
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,5.4375,-5.4375,0,False,5.4,4445.592880249023
<bound method App.trialNo of <__main__.App object at 0x1023c3358>>,9.6875,-9.6875,0,True,0,1839.3421173095703
