trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-5,-30,-17.5,False,-30,6091.198921203613
1,5,30,17.5,True,17.5,3265.2719020843506
2,2,12,7.0,True,7.0,1887.4740600585938
3,5,30,11.25,True,11.2,1475.7969379425049
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-3,-18,-10.5,False,-18,2290.6970977783203
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,4,24,14.0,False,4,3898.637056350708
6,4,24,19.0,True,19.0,1929.753065109253
7,4,24,16.5,True,16.5,1534.0490341186523
8,-3,-18,-6.75,True,-6.8,2033.041000366211
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-2,-12,-7.0,False,-12,1766.784906387329
10,-3,-18,-8.625,True,-8.6,2316.3819313049316
11,3,18,10.5,True,10.5,1922.5468635559082
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-1,-6,-3.5,False,-6,1831.0179710388184
13,-5,-30,-11.25,True,-11.2,2854.8688888549805
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,1,6,3.5,False,6,1953.2041549682617
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-5,-30,-14.375,False,-30,2688.9240741729736
16,-3,-18,-9.5625,True,-9.6,3031.203031539917
17,-2,-12,-4.5,True,-4.5,1631.850004196167
18,4,24,15.25,True,15.2,1535.6640815734863
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-5,-30,-12.8125,False,-5,1342.473030090332
20,-4,-24,-14.0,True,-14.0,1656.3429832458496
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,1,6,4.75,False,1,1886.2831592559814
22,-3,-18,-10.03125,True,-10.0,1757.4200630187988
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-4,-24,-19.0,False,-24,3603.2018661499023
24,1,6,5.375,True,5.4,1951.0469436645508
25,-3,-18,-10.265625,True,-10.3,2301.2661933898926
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-4,-24,-16.5,False,-4,1444.8840618133545
27,-2,-12,-5.75,True,-5.8,1586.3409042358398
28,-1,-6,-2.25,True,-2.2,1842.1640396118164
29,-1,-6,-2.875,True,-2.9,1577.1660804748535
30,-1,-6,-3.1875,True,-3.2,1847.6002216339111
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-2,-12,-6.375,False,-12,1769.0279483795166
32,-5,-30,-12.03125,True,-12.0,925.29296875
33,4,24,14.625,True,14.6,1503.2320022583008
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,3,18,6.75,False,3,1306.8640232086182
35,1,6,5.0625,True,5.1,1320.249080657959
36,1,6,4.90625,True,4.9,1289.397954940796
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-2,-12,-6.0625,False,-12,2440.3769969940186
38,4,24,14.3125,True,14.3,1343.6121940612793
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,5,30,8.125,False,30,1592.6659107208252
40,3,18,8.625,True,8.6,1182.1479797363281
41,-1,-6,-3.34375,True,-3.3,1229.274034500122
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,2,12,4.5,False,2,1380.079984664917
43,2,12,5.75,True,5.8,1287.580966949463
44,-5,-30,-12.421875,True,-12.4,1537.869930267334
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-1,-6,-3.421875,False,-6,1571.3090896606445
46,1,6,4.828125,True,4.8,1237.9589080810547
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,2,12,5.125,False,2,1514.4929885864258
