trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-7.0,False,-2,12876.89995765686
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,10.5,True,10.5,7743.408918380737
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-14.0,True,-14.0,7743.408918380737
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,7.0,True,7.0,12622.414827346802
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-9.5,False,-2,3761.521816253662
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-9.0,True,-9.0,6128.634929656982
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,17.5,False,30,2555.7501316070557
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,14.0,False,4,4542.2070026397705
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,23.75,True,23.8,2243.1039810180664
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-6.5,True,-6.5,3893.5790061950684
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,19.0,True,19.0,3421.5831756591797
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-5.25,True,-5.2,2001.6381740570068
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,4.5,False,12,3935.1987838745117
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,14.375,False,5,4433.3131313323975
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-3.5,True,-3.5,2617.661952972412
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,1,6,3.5,True,3.5,2526.437997817993
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,1,6,2.25,False,1,2338.3941650390625
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,8.25,True,8.2,2181.398868560791
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,6.75,False,18,2618.2851791381836
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-4.625,True,-4.6,2445.7788467407227
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,5.125,False,2,2579.4029235839844
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-10.75,False,-12,4002.009868621826
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,8.5625,False,12,5304.203987121582
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,12.375,True,12.4,3418.1621074676514
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,1,6,4.125,False,1,3118.783950805664
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,11.5,False,24,2878.5479068756104
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,17.75,True,17.8,1950.8769512176514
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-2.25,True,-2.2,5015.321969985962
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,7.6875,False,18,3609.9181175231934
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,1,6,5.0625,True,5.1,2950.4950046539307
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-10.5,False,-18,4398.557901382446
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-17.5,True,-17.5,6473.7749099731445
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-11.375,False,-12,1610.342025756836
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,22.1875,True,22.2,2220.676898956299
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-1.625,True,-1.6,3862.5569343566895
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-4,-24,-4.3125,True,-4.3,12799.275875091553
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-11.6875,False,-2,2918.2510375976562
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-14.25,False,-3,2188.5900497436523
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2,12,10.28125,True,10.3,3189.352035522461
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-11.25,False,-5,2895.5278396606445
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-20.625,False,-5,4877.571105957031
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-2,-12,-11.84375,False,-12,2594.6710109710693
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,12.84375,True,12.8,3538.7179851531982
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,10.875,False,24,3498.7220764160156
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-1.3125,True,-1.3,3498.608112335205
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,3,18,7.921875,False,18,2568.445920944214
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-1.15625,True,-1.2,1582.650899887085
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,4,24,17.4375,True,17.4,10888.941049575806
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-25.3125,False,-30,2505.3138732910156
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,13.59375,False,5,1968.8842296600342
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-27.65625,False,-5,2515.67006111145
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,5,30,21.796875,False,5,2127.748966217041
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,1,6,3.03125,True,3.0,923.7470626831055
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-5,-30,-28.828125,False,-30,1672.546148300171
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-1,-6,-1.078125,True,-1.1,1604.7251224517822
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,1,6,2.015625,False,6,1620.3210353851318
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-16.125,False,-3,1579.7090530395508
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-17.0625,False,-18,3840.855121612549
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-17.53125,False,-3,2396.550178527832
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,-3,-18,-17.765625,False,-3,1662.484884262085
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,17.6953125,-17.6953125,0,True,0,7364.237070083618
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2.5234375,-2.5234375,0,False,-2.5,3328.5679817199707
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,17.6953125,-8.84765625,0,False,17.7,1451.6711235046387
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,14.15625,-14.15625,0,True,0,1646.420955657959
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,10.3828125,-10.3828125,0,False,10.4,2107.703924179077
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2.5234375,-8.83203125,0,True,0,1746.0789680480957
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2.5234375,-4.416015625,0,True,0,2735.0380420684814
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,10.3828125,-36.33984375,0,True,0,1449.0418434143066
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,9.421875,-9.421875,0,True,0,3093.7349796295166
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,10.3828125,-18.169921875,0,True,0,1894.1171169281006
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2.5234375,-2.2080078125,0,False,-2.2,2233.825206756592
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,9.421875,-4.7109375,0,False,-4.7,1439.4469261169434
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,10.3828125,-9.0849609375,0,False,-9.1,1692.7452087402344
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,10.3828125,-35.69091796875,0,True,0,1428.9557933807373
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,17.6953125,-57.509765625,0,True,0,1320.8870887756348
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,9.421875,-30.62109375,0,True,0,2328.3209800720215
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,14.15625,-7.078125,0,False,14.2,1301.218032836914
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,9.421875,-15.310546875,0,True,0,2183.2029819488525
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,14.15625,-46.0078125,0,True,0,1596.9820022583008
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,9.421875,-7.6552734375,0,False,-7.7,1646.394968032837
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,2.5234375,-8.67431640625,0,False,-8.7,1625.028133392334
<bound method App.trialNo of <__main__.App object at 0x1023c32e8>>,17.6953125,-28.7548828125,0,True,0,1415.7249927520752
