trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-1,-6,-3.5,True,-3.5,4473.542213439941
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-5,-30,-17.5,True,-17.5,5500.073194503784
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-2,-12,-7.0,True,-7.0,2180.9401512145996
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,1,6,3.5,True,3.5,3750.843048095703
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-3,-18,-10.5,True,-10.5,3708.7249755859375
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,1,6,2.25,False,1,3035.573959350586
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3,18,10.5,True,10.5,2296.844005584717
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-4,-24,-14.0,True,-14.0,2986.664056777954
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-5,-30,-11.25,True,-11.2,2715.5611515045166
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-2,-12,-4.5,True,-4.5,1736.0270023345947
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,4,24,14.0,True,14.0,3024.0509510040283
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,4,24,9.0,False,4,2086.1968994140625
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-3,-18,-6.75,False,-18,201.28202438354492
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,1,6,4.125,True,4.1,1161.8120670318604
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-5,-30,-8.125,True,-8.1,2381.6978931427
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-3,-18,-12.375,True,-12.4,1615.7069206237793
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-3,-18,-7.6875,True,-7.7,1867.5668239593506
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-2,-12,-3.25,True,-3.2,1307.4049949645996
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,4,24,16.5,True,16.5,2227.376937866211
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,1,6,2.5625,True,2.6,1304.6259880065918
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-2,-12,-2.625,True,-2.6,1903.6710262298584
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-5,-30,-6.5625,True,-6.6,1430.415153503418
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-3,-18,-5.34375,True,-5.3,1367.798089981079
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-1,-6,-2.25,True,-2.2,1831.3710689544678
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-5,-30,-5.78125,True,-5.8,1382.336139678955
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,5,30,17.5,True,17.5,1616.9650554656982
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-3,-18,-4.171875,True,-4.2,1098.3211994171143
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3,18,6.75,True,6.8,1353.0950546264648
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-1,-6,-1.625,True,-1.6,3386.9009017944336
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-1,-6,-1.3125,True,-1.3,1439.5310878753662
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-1,-6,-1.15625,True,-1.2,2395.768880844116
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-2,-12,-2.3125,True,-2.3,2301.8832206726074
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-5,-30,-5.390625,True,-5.4,1866.5480613708496
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-1,-6,-1.078125,True,-1.1,1502.906084060669
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-2,-12,-2.15625,True,-2.2,1797.2431182861328
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3,18,4.875,False,3,2750.288963317871
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-4,-24,-9.0,True,-9.0,2410.3100299835205
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3,18,11.4375,True,11.4,3153.1829833984375
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3,18,7.21875,True,7.2,2071.837902069092
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,5,30,11.25,True,11.2,2045.902967453003
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,4,24,10.25,True,10.2,1513.0219459533691
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2,12,7.0,True,7.0,1504.7121047973633
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2,12,4.5,False,2,3876.478910446167
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-4,-24,-6.5,True,-6.5,2525.989055633545
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,4,24,7.125,False,4,3360.527992248535
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,1,6,1.78125,False,1,3136.5928649902344
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2,12,8.25,True,8.2,1752.1240711212158
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2,12,5.125,True,5.1,1550.4429340362549
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2,12,3.5625,True,3.6,1174.8988628387451
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-4,-24,-5.25,True,-5.2,1267.1940326690674
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-4,-24,-4.625,True,-4.6,1389.8169994354248
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,5,30,8.125,False,30,2527.0190238952637
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3,18,5.109375,False,18,2382.172107696533
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2,12,2.78125,False,2,2432.731866836548
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,4,24,15.5625,True,15.6,2858.5829734802246
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,5,30,19.0625,True,19.1,1998.1682300567627
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,5,30,12.03125,True,12.0,1825.8461952209473
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,-4,-24,-4.3125,True,-4.3,2147.2132205963135
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,5,30,8.515625,True,8.5,2343.7600135803223
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,1,6,3.890625,True,3.9,2751.0437965393066
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3.171875,-3.171875,0,True,0,6994.477033615112
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3.171875,-1.5859375,0,True,0,6040.7960414886475
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2.8359375,-2.8359375,0,True,0,1669.4347858428955
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,11.34375,-11.34375,0,True,0,2385.861873626709
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,11.34375,-5.671875,0,False,11.3,2836.0118865966797
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,6.1640625,-6.1640625,0,True,0,2118.0081367492676
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,11.34375,-36.8671875,0,True,0,3295.8431243896484
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,10.2734375,-10.2734375,0,True,0,1719.19584274292
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2.8359375,-1.41796875,0,True,0,3256.5460205078125
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3.171875,-0.79296875,0,False,-0.8,2394.1879272460938
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,10.2734375,-5.13671875,0,True,0,2355.226993560791
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3.171875,-9.912109375,0,True,0,1922.3589897155762
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,6.1640625,-3.08203125,0,True,0,1461.0579013824463
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,6.1640625,-1.541015625,0,False,-1.5,2021.2578773498535
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,2.8359375,-0.708984375,0,True,0,3014.263868331909
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,3.171875,-4.9560546875,0,True,0,1949.4919776916504
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,11.34375,-18.43359375,0,True,0,1584.7771167755127
<bound method App.trialNo of <__main__.App object at 0x1013c33c8>>,11.34375,-9.216796875,0,True,0,996.5589046478271
