trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,9.9140625,-4.95703125,0,False,-5.0,7281.495809555054
78,11.03125,-6.89453125,0,True,0,8723.192930221558
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,11.03125,-6.205078125,0,False,-6.2,1632.957935333252
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,4.5546875,-1.7080078125,0,False,-1.7,1314.2240047454834
81,6.765625,-5.4970703125,0,True,0,1670.0057983398438
82,9.9140625,-7.435546875,0,True,0,1355.3919792175293
83,10.2734375,-10.2734375,0,True,0,1657.1099758148193
84,9.9140625,-6.1962890625,0,True,0,2769.7739601135254
85,6.765625,-5.28564453125,0,True,0,7281.524896621704
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,9.9140625,-5.57666015625,0,False,9.9,2414.891004562378
87,6.765625,-6.765625,0,True,0,1084.252119064331
88,4.5546875,-1.99267578125,0,True,0,1377.8791427612305
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,11.03125,-6.5498046875,0,False,11.0,2683.779001235962
90,11.03125,-11.03125,0,True,0,1297.4989414215088
91,4.5546875,-1.850341796875,0,True,0,1898.9708423614502
92,9.9140625,-5.886474609375,0,True,0,1078.4127712249756
93,9.9140625,-9.9140625,0,True,0,1711.3449573516846
<bound method App.trialNo of <__main__.App object at 0x101bef048>>,4.5546875,-4.5546875,0,False,-4.6,2578.86004447937
