trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
0,2,12,7.0,True,7.0,15011.307001113892
1,1,6,3.5,True,3.5,6994.399070739746
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,1,6,2.25,False,6,2777.348041534424
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,2,12,4.5,False,12,2629.8749446868896
4,-2,-12,-7.0,True,-7.0,4556.252002716064
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-2,-12,-9.5,False,-12,3976.3431549072266
6,-1,-6,-3.5,True,-3.5,4681.018114089966
7,-3,-18,-10.5,True,-10.5,10705.747127532959
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-3,-18,-14.25,False,-3,4845.185041427612
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-1,-6,-4.75,False,-6,3635.3280544281006
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,1,6,2.875,False,6,3020.8868980407715
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-2,-12,-8.25,False,-12,5899.445056915283
12,4,24,14.0,True,14.0,6619.131803512573
13,5,30,17.5,True,17.5,7562.652111053467
14,3,18,10.5,True,10.5,5447.865009307861
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-3,-18,-12.375,False,-18,9201.488018035889
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,5,30,11.25,False,30,2757.6541900634766
17,-5,-30,-17.5,True,-17.5,4108.83903503418
18,-3,-18,-11.4375,True,-11.4,5684.806108474731
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-1,-6,-4.125,False,-6,2689.3279552459717
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-2,-12,-7.625,False,-2,3645.0560092926025
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,4,24,9.0,False,4,2792.940139770508
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,5,30,14.375,False,5,2695.2168941497803
23,1,6,3.1875,True,3.2,2140.5820846557617
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-3,-18,-11.90625,False,-18,5127.094030380249
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,-3,-18,-11.671875,False,-18,7813.963890075684
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,4,24,11.5,False,4,3155.508041381836
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,5,30,15.9375,False,30,5207.772970199585
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,3,18,6.75,False,18,2237.10298538208
<bound method App.trialNo of <__main__.App object at 0x1023d1da0>>,5,30,16.71875,False,30,4546.4301109313965
