trial,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,3,18,10.5,False,3,12162.324905395508
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-2,-12,-7.0,False,-12,13898.805141448975
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-2,-12,-4.5,False,-2,3663.6509895324707
3,1,6,3.5,True,3.5,4800.323009490967
4,2,12,7.0,True,7.0,5011.105060577393
5,-4,-24,-14.0,True,-14.0,13974.153995513916
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-2,-12,-3.25,False,-12,2721.2698459625244
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-5,-30,-17.5,False,-5,4287.161827087402
8,-3,-18,-10.5,True,-10.5,6674.871921539307
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,1,6,2.25,False,6,3942.924976348877
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,1,6,2.875,False,1,7373.585939407349
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-3,-18,-14.25,False,-3,3585.3679180145264
12,5,30,17.5,True,17.5,4568.620204925537
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,2,12,4.5,False,2,4147.820949554443
14,-2,-12,-2.625,True,-2.6,5394.358158111572
15,-2,-12,-2.9375,True,-2.9,6553.5712242126465
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-1,-6,-3.5,False,-1,2868.5359954833984
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-4,-24,-19.0,False,-24,9426.419973373413
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-3,-18,-12.375,False,-18,5702.837944030762
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,4,24,14.0,False,24,2478.2819747924805
20,-2,-12,-3.09375,True,-3.1,4305.145978927612
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-5,-30,-11.25,False,-30,11538.1019115448
22,-1,-6,-2.25,True,-2.2,3357.171058654785
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-1,-6,-2.875,False,-6,2367.9709434509277
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,1,6,3.1875,False,1,1810.7988834381104
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-4,-24,-16.5,False,-4,2396.803140640259
26,-5,-30,-8.125,True,-8.1,3068.199872970581
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-1,-6,-2.5625,False,-1,3048.4819412231445
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,2,12,5.75,False,12,4578.701972961426
29,-5,-30,-9.6875,True,-9.7,4282.764911651611
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,-4,-24,-15.25,False,-24,2905.658006668091
<bound method App.trialNo of <__main__.App object at 0x1023d1f98>>,4,24,19.0,False,24,2811.7730617523193
32,2,12,6.375,True,6.4,3201.046943664551
