trail No,v_50_1,v_50_2,v_100,subject choice,computer choice,rt(ms)
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,2,12,7.0,True,7.0,8097.78094291687
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-5,-30,-17.5,True,-17.5,7179.097890853882
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-1,-6,-3.5,True,-3.5,8722.58710861206
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-5,-30,-11.25,False,-5,6969.06304359436
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-5,-30,-20.625,True,-20.6,4254.617929458618
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,5,30,17.5,True,17.5,4623.018026351929
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,2,12,4.5,False,2,5654.338121414185
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-4,-24,-14.0,True,-14.0,10484.437942504883
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-1,-6,-2.25,False,-6,4777.720928192139
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4,24,14.0,False,4,4247.606992721558
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-3,-18,-10.5,False,-3,15739.278078079224
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-4,-24,-9.0,True,-9.0,3725.7699966430664
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,1,6,3.5,False,6,3743.6230182647705
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-4,-24,-6.5,True,-6.5,3372.328042984009
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-2,-12,-7.0,False,-12,3179.8291206359863
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-3,-18,-14.25,True,-14.2,7533.320188522339
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4,24,19.0,False,24,3058.0739974975586
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4,24,21.5,True,21.5,2631.0298442840576
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4,24,12.75,False,24,1634.3729496002197
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,1,6,4.75,False,1,2031.2190055847168
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,2,12,8.25,True,8.2,1976.4890670776367
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,5,30,11.25,False,5,1357.8760623931885
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,5,30,20.625,False,5,1452.3770809173584
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-3,-18,-8.625,False,-18,2793.9910888671875
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-2,-12,-9.5,False,-12,4309.711933135986
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-1,-6,-4.125,False,-1,2379.1630268096924
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-4,-24,-5.25,True,-5.2,2625.180959701538
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-5,-30,-12.8125,True,-12.8,4419.156074523926
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,1,6,5.375,True,5.4,1768.1469917297363
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-5,-30,-8.90625,True,-8.9,1788.4747982025146
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,3,18,10.5,False,3,2364.3338680267334
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-5,-30,-6.953125,True,-7.0,2211.714029312134
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,3,18,14.25,True,14.2,2812.1838569641113
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-3,-18,-13.3125,False,-3,1956.7320346832275
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,3,18,8.625,False,18,1436.23685836792
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-2,-12,-10.75,False,-2,2338.750123977661
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-2,-12,-11.375,False,-12,2231.889009475708
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-4,-24,-4.625,True,-4.6,2430.13596534729
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,1,6,3.1875,False,6,1868.778944015503
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-4,-24,-4.3125,True,-4.3,1692.3201084136963
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-2,-12,-11.6875,False,-2,4056.2989711761475
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,3,18,13.3125,False,3,1485.9058856964111
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,5,30,25.3125,False,5,1875.1940727233887
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-3,-18,-15.65625,False,-18,2775.7420539855957
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,1,6,4.59375,False,1,1383.152961730957
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-1,-6,-5.0625,False,-1,1406.5840244293213
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-2,-12,-11.84375,False,-2,2285.987138748169
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,1,6,5.296875,True,5.3,1161.5920066833496
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-1,-6,-5.53125,False,-6,4578.030109405518
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-1,-6,-5.765625,False,-1,3544.879913330078
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,-3,-18,-16.828125,True,-16.8,5024.163007736206
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,3,18,15.65625,True,15.7,2138.564109802246
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,2,12,5.125,False,12,1900.2430438995361
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,2,12,8.5625,True,8.6,5358.032941818237
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,5,30,27.65625,True,27.7,1929.6059608459473
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,5,30,16.328125,False,30,2492.6679134368896
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4,24,18.375,False,24,2013.411045074463
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,2,12,5.28125,False,2,2649.6541500091553
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4,24,21.1875,True,21.2,2299.208879470825
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,3,18,9.328125,False,18,3097.5430011749268
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,6.375,-6.375,0,True,0,5083.285093307495
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,17.125,-17.125,0,True,0,5029.181957244873
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4.9453125,-4.9453125,0,False,-4.9,4764.117002487183
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,22.96875,-22.96875,0,False,-23.0,1859.570026397705
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,17.125,-8.5625,0,True,0,2768.5439586639404
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,4.9453125,-17.30859375,0,False,-17.3,1931.1211109161377
<bound method App.trialNo of <__main__.App object at 0x102bc32b0>>,22.96875,-80.390625,0,True,0,2037.074089050293
